 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Jul-09 00:00     19 08 30.21 -27 56 56.7  0.01093700405921   0.0032931     0.09096029
 2014-Jul-10 00:00     19 10 59.77 -27 46 04.1  0.01093795562268  -0.0001638     0.09096820
 2014-Jul-11 00:00     19 13 30.62 -27 34 47.8  0.01093687580174  -0.0036106     0.09095922
 2014-Jul-12 00:00     19 16 02.15 -27 23 09.0  0.01093368784349  -0.0074629     0.09093271
 2014-Jul-13 00:00     19 18 33.92 -27 11 09.3  0.01092823677085  -0.0114109     0.09088737
 2014-Jul-14 00:00     19 21 05.39 -26 58 49.6  0.01092053228058  -0.0152282     0.09082330
 2014-Jul-15 00:00     19 23 36.06 -26 46 10.8  0.01091071339924  -0.0187002     0.09074164
 2014-Jul-16 00:00     19 26 05.53 -26 33 13.2  0.01089903069888  -0.0216597     0.09064447
 2014-Jul-17 00:00     19 28 33.51 -26 19 56.7  0.01088581419484  -0.0239986     0.09053456
 2014-Jul-18 00:00     19 30 59.83 -26 06 20.8  0.01087143242538  -0.0256962     0.09041495
 2014-Jul-19 00:00     19 33 24.40 -25 52 25.0  0.01085634187643  -0.0265802     0.09028944
 2014-Jul-20 00:00     19 35 47.39 -25 38 08.5  0.01084084715862  -0.0269943     0.09016058
 2014-Jul-21 00:00     19 38 09.03 -25 23 30.2  0.01082525538835  -0.0269230     0.09003090
 2014-Jul-22 00:00     19 40 29.62 -25 08 29.3  0.01080982923268  -0.0264330     0.08990261
 2014-Jul-23 00:00     19 42 49.53 -24 53 04.8  0.01079478804366  -0.0256237     0.08977751
 2014-Jul-24 00:00     19 45 09.20 -24 37 15.7  0.01078027204079  -0.0246091     0.08965679
 2014-Jul-25 00:00     19 47 29.07 -24 21 01.2  0.01076639301563  -0.0234321     0.08954136
 2014-Jul-26 00:00     19 49 49.71 -24 04 20.4  0.01075311209327  -0.0224750     0.08943091
 2014-Jul-27 00:00     19 52 11.53 -23 47 12.5  0.01074049674496  -0.0212173     0.08932599
 2014-Jul-28 00:00     19 54 34.91 -23 29 37.0  0.01072858837252  -0.0200393     0.08922695
 2014-Jul-29 00:00     19 57 00.27 -23 11 33.4  0.01071731970390  -0.0190137     0.08913323
 2014-Jul-30 00:00     19 59 28.01 -22 53 01.2  0.01070658300941  -0.0182079     0.08904394
 2014-Jul-31 00:00     20 01 58.51 -22 34 00.1  0.01069623310230  -0.0176843     0.08895786
 2014-Aug-01 00:00     20 04 32.08 -22 14 30.0  0.01068609008246  -0.0175008     0.08887350
 2014-Aug-02 00:00     20 07 09.02 -21 54 30.6  0.01067594568306  -0.0177040     0.08878913
 2014-Aug-03 00:00     20 09 49.54 -21 34 02.0  0.01066555357921  -0.0183606     0.08870270
 2014-Aug-04 00:00     20 12 33.80 -21 13 04.3  0.01065464233037  -0.0195089     0.08861196
 2014-Aug-05 00:00     20 15 21.89 -20 51 37.8  0.01064291643041  -0.0211869     0.08851444
 2014-Aug-06 00:00     20 18 13.82 -20 29 43.0  0.01063006256398  -0.0234165     0.08840753
 2014-Aug-07 00:00     20 21 09.46 -20 07 20.5  0.01061576238758  -0.0261909     0.08828860
 2014-Aug-08 00:00     20 24 08.61 -19 44 31.5  0.01059971366363  -0.0294583     0.08815513
 2014-Aug-09 00:00     20 27 10.94 -19 21 16.9  0.01058166032964  -0.0331088     0.08800499
 2014-Aug-10 00:00     20 30 16.00 -18 57 38.3  0.01056142802340  -0.0369704     0.08783672
 2014-Aug-11 00:00     20 33 23.31 -18 33 37.0  0.01053895626704  -0.0408251     0.08764983
 2014-Aug-12 00:00     20 36 32.36 -18 09 14.4  0.01051431562798  -0.0444441     0.08744490
 2014-Aug-13 00:00     20 39 42.68 -17 44 31.8  0.01048770177319  -0.0476296     0.08722356
 2014-Aug-14 00:00     20 42 53.92 -17 19 30.1  0.01045940783710  -0.0502452     0.08698824
